screen_size,rear_camera_mp,front_camera_mp,ram,normalized_used_price,normalized_new_price,OS_Android,OS_Others,OS_Windows,OS_iOS,without_4g,with_4g,without_5g,with_5g,budget_brand,expensive_brand
0.4721589058938456,0.2708333333333333,0.15625,0.25,4.307572449,4.715100245,1,0,0,0,0,1,1,0,1,0
0.5633344187561055,0.2708333333333333,0.5,0.6666666666666666,5.162096647,5.519017936,1,0,0,0,0,1,0,1,1,0
0.5434711820253989,0.2708333333333333,0.25,0.6666666666666666,5.111083765,5.884630724,1,0,0,0,0,1,0,1,1,0
0.8303484207098665,0.2708333333333333,0.25,0.5,5.135386588,5.630960854,1,0,0,0,0,1,0,1,1,0
0.49886030608922177,0.2708333333333333,0.25,0.25,4.389994804,4.947837479,1,0,0,0,0,1,1,0,1,0
0.5284923477694562,0.2708333333333333,0.25,0.3333333333333333,4.413888608,5.060694494,1,0,0,0,0,1,1,0,1,0
0.4506675350048844,0.16666666666666666,0.15625,0.16666666666666666,3.878259375,4.518958489,1,0,0,0,0,1,1,0,1,0
0.5135135135135135,0.2708333333333333,0.25,0.3333333333333333,4.729421148,5.18872569,1,0,0,0,0,1,1,0,1,0
0.49886030608922177,0.2708333333333333,0.5,0.5,4.886054204,5.299916088,1,0,0,0,0,1,1,0,1,0
0.5284923477694562,0.2708333333333333,0.25,0.5,4.773223771,5.073610093,1,0,0,0,0,1,1,0,1,0
0.5037447085639857,0.2708333333333333,0.25,0.25,4.26703657,4.713665782,1,0,0,0,0,1,1,0,1,0
0.49886030608922177,0.2708333333333333,0.25,0.3333333333333333,4.657383057,4.770176021,1,0,0,0,0,1,1,0,1,0
0.5434711820253989,0.2708333333333333,0.5,0.6666666666666666,5.383255763,6.213967894,1,0,0,0,0,1,0,1,1,0
0.49886030608922177,0.2708333333333333,0.5,0.3333333333333333,4.617592706,5.398750764,1,0,0,0,0,1,1,0,1,0
0.4721589058938456,0.2708333333333333,0.15625,0.16666666666666666,4.111365547,4.487512143,1,0,0,0,0,1,1,0,1,0
0.5284923477694562,0.2708333333333333,0.25,0.3333333333333333,4.411221293,4.866225902,1,0,0,0,0,1,1,0,1,0
0.5177466623249756,0.2708333333333333,1.0,0.5,5.022366217,5.517934708,1,0,0,0,0,1,1,0,1,0
0.5450993161836535,0.2708333333333333,0.5,0.3333333333333333,4.777020443,5.193179048,1,0,0,0,0,1,1,0,1,0
0.4721589058938456,0.2708333333333333,0.15625,0.16666666666666666,4.248638089,4.792313433,1,0,0,0,0,1,1,0,1,0
0.82806903288831,0.10416666666666667,0.0625,0.25,4.267877613,5.517051209,1,0,0,0,0,1,1,0,1,0
0.6616737219146858,0.16666666666666666,0.25,0.25,4.556295018,5.304001183,1,0,0,0,0,1,1,0,1,0
0.6616737219146858,0.16666666666666666,0.009375,0.08333333333333333,4.45213555,5.48438191,1,0,0,0,1,0,1,0,1,0
0.4978834255942689,0.2708333333333333,0.5,0.25,4.560800238,5.195730778,1,0,0,0,0,1,1,0,0,1
0.4194073591663953,0.2708333333333333,0.40625,0.3333333333333333,4.595624773,5.39771011,1,0,0,0,0,1,1,0,0,1
0.4978834255942689,0.2708333333333333,0.25,0.25,4.426521875,5.006091654,1,0,0,0,0,1,1,0,0,1
0.4962552914360143,0.2708333333333333,0.453125,0.5,5.213467289,6.039968956,1,0,0,0,0,1,1,0,0,1
0.4978834255942689,0.2708333333333333,0.5,0.3333333333333333,4.636668853,5.631426812,1,0,0,0,0,1,1,0,0,1
0.5004884402474764,0.21875,0.5,0.5,4.905496976,5.520380334,1,0,0,0,0,1,0,1,0,1
0.5004884402474764,0.21875,0.5,0.5,4.820442843,5.39603374,1,0,0,0,0,1,0,1,0,1
0.49886030608922177,0.21875,0.5,0.3333333333333333,4.577901759,5.558024257,1,0,0,0,0,1,1,0,0,1
0.49886030608922177,0.21875,0.5,0.3333333333333333,4.872828107,5.478970866,1,0,0,0,0,1,1,0,0,1
0.6616737219146858,0.10416666666666667,0.0625,0.16666666666666666,4.170533701,4.598246271,1,0,0,0,0,1,1,0,0,1
0.5004884402474764,0.21875,0.5,0.6666666666666666,4.709440107,5.765661212,1,0,0,0,0,1,0,1,0,1
0.8303484207098665,0.16666666666666666,0.25,0.3333333333333333,5.133088887,5.51877732,1,0,0,0,0,1,1,0,0,1
0.5441224356887008,0.21875,0.5,0.6666666666666666,6.153455837,7.244220373,1,0,0,0,0,1,0,1,0,1
0.5284923477694562,0.21875,0.25,0.3333333333333333,4.644390899,5.0681492,1,0,0,0,0,1,1,0,0,1
0.8336046890263757,0.2708333333333333,0.25,0.5,5.18245748,6.310336373,1,0,0,0,0,1,0,1,0,1
0.5284923477694562,0.21875,0.25,0.3333333333333333,4.322143925,4.95342982,1,0,0,0,0,1,1,0,0,1
0.5450993161836535,0.2708333333333333,0.5,0.5,5.065439086,5.672429397,1,0,0,0,0,1,1,0,0,1
0.4995115597525236,0.2708333333333333,0.5,0.6666666666666666,4.931375613,5.634110801,1,0,0,0,0,1,1,0,0,1
0.8336046890263757,0.2708333333333333,0.25,0.5,4.997685135,6.107267847,1,0,0,0,0,1,1,0,0,1
0.5177466623249756,0.2708333333333333,1.0,0.5,4.99653637,5.294560318,1,0,0,0,0,1,1,0,0,1
